name,team,avg,g,pa,ab,r,h,2b,3b,hr,tb,rbi,sac,sf,xbh,go,ao,go/ao,gw rbi,bb/k,p/pa,isop,xr,gpa
김웅빈,넥센,0.429,10,15,14,4,6,0,0,1,9,4,0,1,1,5,1,5,1,0,3.67,0.214,3.6,0.341
윤석민,넥센,0.334,92,402,341,72,114,15,0,19,186,80,0,6,34,102,81,1.26,7,0.92,4.06,0.211,71.5,0.325
고종욱,넥센,0.334,133,566,527,92,176,22,9,8,240,72,1,5,39,142,111,1.28,9,0.27,3.72,0.121,82.7,0.28
서건창,넥센,0.325,140,646,560,111,182,30,7,7,247,63,3,4,44,187,137,1.36,9,1.19,3.61,0.116,100.1,0.293
박정음,넥센,0.309,98,263,223,45,69,5,3,4,92,26,5,2,12,55,49,1.12,5,0.58,3.98,0.103,37,0.281
이택근,넥센,0.309,127,460,398,64,123,19,1,8,168,65,0,6,28,116,109,1.06,8,0.95,3.86,0.113,65.6,0.281
김민성,넥센,0.306,141,579,510,76,156,39,5,17,256,90,1,12,61,112,165,0.68,3,0.6,4.18,0.196,90.1,0.291
대니돈,넥센,0.295,129,497,417,65,123,33,1,16,206,70,1,4,50,83,143,0.58,7,0.97,3.91,0.199,81.2,0.303
채태인,넥센,0.286,124,417,370,29,106,14,3,7,147,72,0,9,24,111,70,1.59,7,0.39,3.94,0.111,50.8,0.255
김지수,넥센,0.286,81,106,91,16,26,5,0,3,40,9,4,1,8,21,29,0.72,2,0.63,3.93,0.154,13.5,0.269
김하성,넥센,0.281,144,599,526,92,148,29,7,20,251,84,2,5,56,103,200,0.52,4,0.75,4.12,0.196,90.1,0.28
유재신,넥센,0.258,93,74,62,20,16,0,0,0,16,6,2,0,0,19,15,1.27,0,0.83,4,0,7.9,0.227
임병욱,넥센,0.249,104,265,233,43,58,11,1,8,95,24,6,0,20,37,56,0.66,0,0.3,4,0.159,32.6,0.248
박동원,넥센,0.248,127,454,411,44,102,25,1,14,171,70,6,3,40,117,102,1.15,8,0.29,3.65,0.168,48.1,0.241
지재옥,넥센,0.231,7,17,13,2,3,0,0,1,6,1,0,0,1,3,0,-,0,0.43,4.18,0.231,2.8,0.301
