,home_team,home_score,pitcher_home,hitter_home,away_team,away_score,pitcher_away,hitter_away
0,SAMSUNG,1,최충연,"배영섭, 구자욱, 러프, 최영진, 박해민, 이승엽, 최원제, 이지영, 조동찬",KT,9,로치,"심우준, 이대형, 하준호, 유한준, 이해창, 정현, 윤요섭, 모넬, 이진영"
1,HANHWA,9,비야누에바,"강경학, 신성현, 김원석, 로사리오, 이성열, 김회성, 박준혁, 하주석, 최윤석",LG,9,허프,"이형종, 오지환, 정상호, 히메네스, 유강남, 손주인, 김용의, 강승호, 최재원"
2,KIA,7,팻딘,"버나디나, 서동욱, 김주찬, 최형우, 나지완, 안치홍, 김주형, 이홍구, 김선빈",DOOSAN,4,니퍼트,"오재일, 최주환, 박건우, 허경민, 에반스, 국해성, 류지혁, 김재환, 박세혁"
3,LOTTE,2,레일리,"김문호, 정훈, 전준우, 김상호, 최준석, 번즈, 김민하, 박헌도, 신본기",SK,3,다이아몬드,"나주환, 김강민, 김동엽, 워스, 박승욱, 최정, 정의윤, 박정권, 이재원"
4,NC,2,구창모,"윤병호, 김성욱, 권희동, 스크럭스, 모창민, 조평호, 지석훈, 박광열, 손시헌",NEXEN,2,밴헤켄,"김하성, 김웅빈, 고종욱, 김태완, 윤석민, 허정협, 이정후, 김민성, 김재현"
5,SAMSUNG,2,장원삼,"김헌곤, 최영진, 박해민, 구자욱, 러프, 이승엽, 백상원, 성의준, 최경철",KT,6,정대현,"하준호, 모넬, 정현, 이대형, 이진영, 심우준, 장성우, 이해창, 김사연"
6,HANHWA,5,이태양,"강경학, 신성현, 최윤석, 김원석, 김회성, 정현석, 이동훈, 김주현, 로사리오",LG,12,소사,"김용의, 오지환, 정성훈, 최재원, 히메네스, 이병규, 문선재, 정상호, 이형종"
7,KIA,2,김윤동,"노수광, 최원준, 김석환, 이인행, 신범수, 김주찬, 최형우, 이준호, 홍재호",DOOSAN,4,유희관,"박건우, 오재원, 김재환, 허경민, 최재훈, 류지혁, 최주환, 민병헌, 국해성"
8,LOTTE,7,김원중,"나경민, 김상호, 번즈, 김대우, 강민호, 문규현, 박헌도, 김재유, 이우민",SK,2,김주한,"정진기, 워스, 이명기, 김동엽, 한동민, 이대수, 나주환, 이재원, 박승욱"
9,NC,1,최금강,"모창민, 윤병호, 김성욱, 스크럭스, 조평호, 권희동, 지석훈, 이상호, 박광열",NEXEN,1,오설리반,"박정음, 김하성, 윤석민, 채태인, 대니돈, 허정협, 김민성, 김웅빈, 고종욱"
10,KIA,5,홍건희,"안치홍, 김주찬, 최형우, 김주형, 김선빈, 버나디나, 서동욱, 신범수, 나지완",KT,8,피어밴드,"전민수, 심우준, 김동욱, 김사연, 김연훈, 남태혁, 장성우, 김종민, 오정복"
11,SAMSUNG,3,페트릭,"구자욱, 러프, 박해민, 이지영, 이원석, 강한울, 우동균, 성의준, 이영욱",LG,3,류제국,"문선재, 이형종, 최재원, 서상우, 채은성, 강승호, 유강남, 손주인, 박용택"
12,LOTTE,5,박세웅,"전준우, 나경민, 오승택, 번즈, 최준석, 김상호, 신본기, 나종덕, 이우민",DOOSAN,5,보우덴,"류지혁, 최주환, 국해성, 에반스, 오재일, 허경민, 박건우, 조수행, 오재원"
13,NC,7,장현식,"이재율, 조평호, 스크럭스, 모창민, 손시헌, 박광열, 김성욱, 권희동, 지석훈",SK,2,문승원,"이명기, 김동엽, 한동민, 정진기, 김민식, 김강민, 나주환, 최정용, 박승욱"
14,HANHWA,12,배영수,"강경학, 로사리오, 김태균, 신성현, 장민석, 김회성, 조인성, 김원석, 정현석",NEXEN,1,신재영,"허정협, 이정후, 고종욱, 김태완, 김웅빈, 김혜성, 김민성, 장시윤, 김호연"
15,KIA,6,김현준,"최원준, 김석환, 김규성, 노수광, 신범수, 류승현, 이인행, 이준호, 박정우",KT,12,주권,"전민수, 모넬, 이대형, 유한준, 박경수, 김연훈, 이진영, 김동욱, 이해창"
16,SAMSUNG,0,레나도,"김헌곤, 구자욱, 러프, 이원석, 배영섭, 최영진, 이승엽, 조동찬, 강한울",LG,8,임찬규,"오지환, 히메네스, 정성훈, 임훈, 손주인, 박용택, 김용의, 이형종, 채은성"
17,LOTTE,6,노경은,"나경민, 정훈, 이우민, 김상호, 최준석, 강민호, 전준우, 문규현, 오승택",DOOSAN,4,장원준,"국해성, 박건우, 정진호, 허경민, 류지혁, 오재원, 최주환, 민병헌, 조수행"
18,NC,5,이재학,"김성욱, 스크럭스, 모창민, 조평호, 이상호, 윤병호, 권희동, 도태훈, 강진성",SK,5,박종훈,"정진기, 김동엽, 이대수, 정의윤, 한동민, 워스, 이재원, 박승욱, 최정용"
19,HANHWA,8,윤규진,"김원석, 조인성, 강경학, 장민석, 신성현, 김태균, 최윤석, 정현석, 임익준",NEXEN,7,최원태,"이정후, 김혜성, 김하성, 채태인, 고종욱, 장시윤, 홍성갑, 윤석민, 김웅빈"
20,HANHWA,0,오간도,"신성현, 김태균, 장민석, 임익준, 김원석, 강경학, 김주현, 차일목, 최윤석",KT,0,고영표,"심우준, 모넬, 하준호, 김동욱, 이해창, 김사연, 전민수, 홍현빈, 장성우"
21,LOTTE,11,마켈,"오승택, 김민수, 나경민, 김문호, 김사훈, 번즈, 김대우, 강민호, 이대호",LG,2,김대현,"문선재, 이형종, 유강남, 최재원, 김용의, 강승호, 오상엽, 서상우, 정상호"
22,NEXEN,5,오주원,"박정음, 윤석민, 김민성, 김하성, 이택근, 이정후, 채태인, 김태완, 고종욱",DOOSAN,11,함덕주,"최주환, 서예일, 조수행, 정진호, 김인태, 국해성, 김재환, 김민혁, 황경태"
23,KIA,4,헥터,"버나디나, 서동욱, 김주찬, 나지완, 김주형, 김선빈, 안치홍, 최원준, 이홍구",SK,0,켈리,"이명기, 한동민, 김강민, 최정, 정의윤, 나주환, 이대수, 김민식, 워스"
24,NC,3,맨쉽,"모창민, 윤병호, 권희동, 손시헌, 이상호, 김성욱, 스크럭스, 조평호, 지석훈",SAMSUNG,2,우규민,"박해민, 구자욱, 러프, 강한울, 이승엽, 나성용, 이지영, 백상원, 조동찬"
25,HANHWA,1,비야누에바,"김원석, 장민석, 김주현, 이성열, 정현석, 임익준, 신성현, 조인성, 최윤석",KT,9,로치,"심우준, 이대형, 하준호, 모넬, 유한준, 이진영, 이해창, 전민수, 박경수"
26,LOTTE,3,레일리,"나경민, 번즈, 최준석, 김문호, 신본기, 김동한, 오승택, 이대호, 김대우",LG,2,윤지웅,"김용의, 오지환, 박용택, 히메네스, 채은성, 정성훈, 유강남, 손주인, 강승호"
27,NEXEN,5,밴헤켄,"김태완, 서건창, 임병욱, 김호연, 김하성, 이택근, 박정음, 윤석민, 김웅빈",DOOSAN,3,니퍼트,"김인태, 허경민, 최주환, 정진호, 류지혁, 민병헌, 국해성, 최재훈, 조수행"
28,KIA,4,팻딘,"서동욱, 최원준, 김규성, 이호신, 노수광, 류승현, 김주찬, 나지완, 김주형",SK,7,윤희상,"이명기, 정진기, 정의윤, 이재원, 김동엽, 최정, 한동민, 이대수, 박승욱"
29,NC,0,구창모,"권희동, 모창민, 김준완, 김성욱, 지석훈, 도태훈, 이상호, 이재율, 김태군",SAMSUNG,5,이수민,"김헌곤, 우동균, 이원석, 최영진, 러프, 백상원, 배영섭, 이승엽, 권정웅"
30,NC,10,최금강,"모창민, 스크럭스, 김성욱, 나성범, 윤병호, 지석훈, 손시헌, 이재율, 박석민",HANHWA,9,이태양,"신성현, 김주현, 김원석, 장민석, 정현석, 이성열, 김태균, 허도환, 강경학"
31,NEXEN,7,오설리반,"서건창, 이택근, 채태인, 윤석민, 대니돈, 김민성, 고종욱, 송성문, 김하성",LOTTE,6,김원중,"전준우, 번즈, 김상호, 최준석, 김문호, 문규현, 이우민, 손아섭, 나경민"
32,SK,4,다이아몬드,"김강민, 박승욱, 한동민, 김동엽, 이재원, 최정, 정의윤, 김성현, 정진기",DOOSAN,6,유희관,"박건우, 최주환, 허경민, 민병헌, 김재환, 오재일, 최재훈, 류지혁, 국해성"
33,KIA,5,김윤동,"김선빈, 김주찬, 이범호, 서동욱, 김주형, 버나디나, 이인행, 최형우, 최원준",SAMSUNG,1,최충연,"박해민, 김헌곤, 성의준, 이지영, 러프, 이승엽, 백상원, 구자욱, 김상수"
34,LG,1,소사,"이형종, 오지환, 이병규, 이천웅, 박용택, 채은성, 히메네스, 강승호, 정성훈",KT,3,정대현,"이대형, 유한준, 박경수, 이해창, 하준호, 모넬, 이진영, 박기혁, 오정복"
