name,team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,ERA,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
김윤환,넥센,0,1,0,0,0,0,-,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0.5
김정인,넥센,0,2,0,0,0,0,-,2,3,0,3,1,1,0,0,3,0,1,0,0,1,0,0,0,4,1,4
유재훈,넥센,0,1,0,0,0,0,-,1/3,0,0,2,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,-
김세현,넥센,2.6,62,2,0,36,0,1,62 1/3,66,2,7,0,50,19,18,1.17,2.6,0,0,2,53,44,6,5,67,61,1.1
하영민,넥센,3.14,11,1,1,0,1,0.5,28 2/3,33,2,9,2,15,12,10,1.47,3.14,1,0,1,3,2,0,5,36,25,1.44
황덕균,넥센,3.31,7,1,0,0,0,1,16 1/3,13,3,7,1,3,6,6,1.22,3.31,0,0,1,2,0,0,2,23,20,1.15
밴헤켄,넥센,3.38,12,7,3,0,0,0.7,72,55,10,19,5,81,29,27,1.03,3.38,12,7,0,0,0,0,5,56,68,0.82
코엘로,넥센,3.77,12,6,5,0,0,0.545,62,50,6,42,2,46,29,26,1.48,3.77,12,6,0,0,0,0,1,49,79,0.62
신재영,넥센,3.9,30,15,7,0,0,0.682,168 2/3,192,19,21,11,99,76,73,1.26,3.9,30,15,0,0,0,0,7,150,238,0.63
정용준,넥센,4,5,0,0,0,0,-,9,8,1,5,0,3,5,4,1.44,4,0,0,0,3,0,0,0,8,16,0.5
마정길,넥센,4.1,61,6,1,0,12,0.857,63 2/3,61,10,34,4,52,33,29,1.49,4.1,0,0,6,11,10,0,4,37,92,0.4
오주원,넥센,4.41,55,3,2,2,7,0.6,51,50,3,17,4,40,25,25,1.31,4.41,0,0,3,11,14,1,4,56,49,1.14
이보근,넥센,4.45,67,5,7,0,25,0.417,64 2/3,69,3,27,6,56,36,32,1.48,4.45,0,0,5,7,28,0,6,82,48,1.71
박종윤,넥센,4.5,1,0,0,0,0,-,2,5,0,2,0,0,1,1,3.5,4.5,1,0,0,0,0,0,0,4,2,2
